Date;Open;High;Low;Close;Adj Close;Volume
23/10/2023;6849,167969;6853,449219;6730,875977;6741,963867;6741,963867;168543100
24/10/2023;6741,828125;6826,048828;6738,533203;6806,762207;6806,762207;141478700
25/10/2023;6806,898926;6878,560059;6806,898926;6834,388184;6834,388184;153802700
26/10/2023;6833,979004;6838,809082;6704,52002;6714,519043;6714,519043;168306200
27/10/2023;6714,519043;6781,393066;6713,937012;6758,792969;6758,792969;163096100
30/10/2023;6758,657227;6775,212891;6692,779785;6735,89209;6735,89209;157763400
31/10/2023;6735,89209;6754,516113;6666,410156;6752,210938;6752,210938;195489700
01/11/2023;6751,938965;6773,980957;6639,824219;6642,417969;6642,417969;206571400
02/11/2023;6642,689941;6784,995117;6642,689941;6751,38623;6751,38623;221191100
03/11/2023;6751,38623;6826,618164;6748,695801;6788,850098;6788,850098;231714900
06/11/2023;6788,850098;6878,835938;6787,228027;6878,835938;6878,835938;228787500
07/11/2023;6878,835938;6887,022949;6806,881836;6843,790039;6843,790039;193087900
08/11/2023;6843,653809;6843,917969;6760,102051;6804,105957;6804,105957;151412300
09/11/2023;6804,105957;6865,077148;6793,76416;6838,23291;6838,23291;120495400
10/11/2023;6838,23291;6843,957031;6801,918945;6809,263184;6809,263184;133618500
13/11/2023;6809,263184;6857,103027;6809,263184;6838,312012;6838,312012;187630200
14/11/2023;6838,040039;6886,810059;6829,949219;6862,055176;6862,055176;152609900
15/11/2023;6862,327148;6985,59082;6862,327148;6958,205078;6958,205078;181839600
16/11/2023;6958,34082;6964,168945;6906,594238;6958,007813;6958,007813;122880300
17/11/2023;6958,14502;6977,667969;6919,629883;6977,667969;6977,667969;122926700
20/11/2023;6977,667969;7011,059082;6962,750977;6994,888184;6994,888184;150491900
21/11/2023;6994,888184;7010,978027;6946,960938;6961,790039;6961,790039;160615900
22/11/2023;6961,790039;6965,411133;6893,506836;6906,953125;6906,953125;181914600
23/11/2023;6907,088867;7018,429199;6906,609863;7004,344238;7004,344238;219080000
24/11/2023;7004,47998;7049,541016;7000,097168;7009,630859;7009,630859;181146200
